Name, Type, City, District
RSC (Rotterdamsch Studenten Corps), Student Association, Rotterdam, Kralingen-Crooswijk
Fit For Free Lijnbaan, Gym, Rotterdam, Centrum
CrossFit Hofplein, CrossFit Gym, Rotterdam, Centrum
Pendekar Gym, Muay Thai & MMA Gym, Rotterdam, Centrum
Team Agua, Brazilian Jiu-Jitsu Academy, Rotterdam, Centrum
Aldeia Capoeira, Capoeira School, Rotterdam, Delfshaven
KTEC, Martial Arts & Fitness Center, Capelle aan den IJssel, Capelle aan den IJssel
PMB Trainingen, MMA & Fitness Gym, Rotterdam, Overschie
Kickboxing Oosterbaan Gym, Kickboxing Gym, Rotterdam, IJsselmonde
CardioBoxing Rotterdam, Boxing Gym, Rotterdam, Noord
Noes Fiolet Studio's, Dance & Fitness Studio, Rotterdam, Centrum
Erasmus Sport, Student Sports Center, Rotterdam, Kralingen-Crooswijk
Erasmus Boxing, Student Boxing Club, Rotterdam, Kralingen-Crooswijk
Erasmus BJJ, Student Brazilian Jiu-Jitsu Club, Rotterdam, Kralingen-Crooswijk
Erasmus Runners, Student Running Club, Rotterdam, Kralingen-Crooswijk
Erasmus Dance Society, Student Dance Club, Rotterdam, Kralingen-Crooswijk
SPILKA (Ukrainian Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Hellenic Society, Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Italian Society, Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Portuguese Association, Cultural Association, Rotterdam, Kralingen-Crooswijk
Nordic Student Association, Cultural Association, Rotterdam, Kralingen-Crooswijk

RVSV (Rotterdamsche Vrouwelijke Studenten Vereeniging), Student Association, Rotterdam, Kralingen-Crooswijk
Laurentius, Student Association, Rotterdam, Kralingen-Crooswijk
SSR-R (Societas Studiosorum Reformatorum), Student Association, Rotterdam, Kralingen-Crooswijk
NSR (Navigators Studentenvereniging Rotterdam), Student Association, Rotterdam, Kralingen-Crooswijk
ARIA (Afghan Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
DCA (Dutch Caribbean Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
FSR (Financial Study Association Rotterdam), Study Association, Rotterdam, Kralingen-Crooswijk
R.F.V. Christiaanse-Taxateur, Study Association, Rotterdam, Kralingen-Crooswijk
AEclipse (Policy Economics), Study Association, Rotterdam, Kralingen-Crooswijk
MAEUR (Marketing Association EUR), Study Association, Rotterdam, Kralingen-Crooswijk
Saber (Behavioural Economics), Study Association, Rotterdam, Kralingen-Crooswijk
Transito (Urban Port & Transport Economics), Study Association, Rotterdam, Kralingen-Crooswijk
ECE Students (Entrepreneurship), Study Association, Rotterdam, Delfshaven
EUCSA (Erasmus University College Student Association), Study Association, Rotterdam, Centrum
ESN Rotterdam (Erasmus Student Network), International Student Association, Rotterdam, Kralingen-Crooswijk
ASAH (Association of Students of African Heritage), Cultural Association, Rotterdam, Kralingen-Crooswijk
PPI Rotterdam (Indonesian Students Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
Mozaik (Turkish Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
Avicenna (Medical Multicultural Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
IQRA (Islamic Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
HSFN (Hindu Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
SSA (Surinamese Student Association), Cultural Association, Rotterdam, Kralingen-Crooswijk
Erasmus Hispanic Cultural Organization, Cultural Association, Rotterdam, Kralingen-Crooswijk
International Students Rotterdam (ISR), International Student Association, Rotterdam, Kralingen-Crooswijk
RSG (Rotterdamsch Studenten Gezelschap), Student Association, Rotterdam, Kralingen-Crooswijk
Gaudium, Social Association, Rotterdam, Kralingen-Crooswijk
Skadi (Student Rowing Club), Sports Association, Rotterdam, Noord
Erasmus Student Choir, Cultural Association, Rotterdam, Kralingen-Crooswijk
Rotterdam Student Orchestra, Cultural Association, Rotterdam, Kralingen-Crooswijk
Student Theatre RISK, Cultural Association, Rotterdam, Kralingen-Crooswijk
International Student Theatre WILDe, Cultural Association, Rotterdam, Kralingen-Crooswijk
Stukafest Rotterdam, Cultural Association, Rotterdam, Kralingen-Crooswijk
B.V. Erasmus, Badminton Association, Rotterdam, Kralingen-Crooswijk
Erasmus Padel Association, Padel Association, Rotterdam, Kralingen-Crooswijk
R.S.Z.&W.V. Ragnar, Swimming Association, Rotterdam, Kralingen-Crooswijk
R.S.B.V. Erasmus Boxing, Boxing Association, Rotterdam, Kralingen-Crooswijk
Erasmus Extreme, Extreme Sports Association, Rotterdam, Kralingen-Crooswijk
E.H.V. Never Less, Field Hockey Association, Rotterdam, Kralingen-Crooswijk
R.S.R. Marcroix, Horse Riding Association, Rotterdam, Kralingen-Crooswijk
Erasmus Table Tennis Association, Table Tennis Association, Rotterdam, Kralingen-Crooswijk
Antibarbari, Soccer Association, Rotterdam, Kralingen-Crooswijk
Erasmus Naginata Club, Martial Arts Association, Rotterdam, Kralingen-Crooswijk
Erasmus Sport Climbing Club, Climbing Association, Rotterdam, Kralingen-Crooswijk
Erasmus Yoga Club, Yoga Association, Rotterdam, Kralingen-Crooswijk
Erasmus Martial Arts Society, Martial Arts Association, Rotterdam, Kralingen-Crooswijk
E.B.V. Baros, Basketball Association, Rotterdam, Kralingen-Crooswijk
RSBV Erasmus Boxing, Boxing Association, Rotterdam, Kralingen-Crooswijk
Rotterdamse Studenten Alpen Club (RSAC), Climbing Association, Rotterdam, Kralingen-Crooswijk
Erasmus Dance Society, Dance Association, Rotterdam, Kralingen-Crooswijk
R.S.R. Marcroix, Equestrian Sports Association, Rotterdam, Kralingen-Crooswijk
R.S.G.A. Sweetspot, Golf Association, Rotterdam, Kralingen-Crooswijk
R.S.T.V. Euroturn, Gymnastics Association, Rotterdam, Kralingen-Crooswijk
Erasmus Hockey Vereniging Never Less, Hockey Association, Rotterdam, Kralingen-Crooswijk
Z.Z.V. Rotterdamse Studenten, Indoor Futsal Association, Rotterdam, Kralingen-Crooswijk
R.S.K.V. Erasmus, Korfball Association, Rotterdam, Kralingen-Crooswijk
Erasmus Padel Association, Padel Association, Rotterdam, Kralingen-Crooswijk
A.R.S.R. Skadi, Rowing Association, Rotterdam, Noord
Rotterdamse Studenten Rugby Club (RSRC), Rugby Association, Rotterdam, Kralingen-Crooswijk
E.S.S.V. Alcedo, Ice Skating Association, Rotterdam, Kralingen-Crooswijk
R.S.T.V. Passing Shot, Tennis Association, Rotterdam, Kralingen-Crooswijk
Erasmus Volley, Volleyball Association, Rotterdam, Kralingen-Crooswijk
R.S.Z.V. 'De Zeil', Sailing Association, Rotterdam, Kralingen-Crooswijk
E.U.R. Roadrunners, Running Association, Rotterdam, Kralingen-Crooswijk
R.S.S.V. Tick in de Nick, Squash Association, Rotterdam, Kralingen-Crooswijk
YEBA, Study Association, Rotterdam, Kralingen-Crooswijk
FMR, Study Association, Rotterdam, Kralingen-Crooswijk
HR-Connected, Study Association, Rotterdam, Kralingen-Crooswijk
LMR, Study Association, Rotterdam, Kralingen-Crooswijk
SV Strategos, Study Association, Rotterdam, Kralingen-Crooswijk
ARES, Study Association, Rotterdam, Kralingen-Crooswijk
ROERVLO, Study Association, Rotterdam, Kralingen-Crooswijk
SV Ergos, Study Association, Rotterdam, Kralingen-Crooswijk
MHVR, Study Association, Rotterdam, Kralingen-Crooswijk
HEAT, Study Association, Rotterdam, Kralingen-Crooswijk
SV Carmentis, Study Association, Rotterdam, Kralingen-Crooswijk
Valetudo Rotterdam, Study Association, Rotterdam, Kralingen-Crooswijk
Vitruvius, Study Association, Rotterdam, Kralingen-Crooswijk
WIJSz, Study Association, Rotterdam, Kralingen-Crooswijk
STIR, Study Association, Rotterdam, Kralingen-Crooswijk
S.S.R.-Rotterdam, Student Association, Rotterdam, Kralingen-Crooswijk
David Lloyd, Gym, Rotterdam, Centrum
Fit For Free Lijnbaan, Gym, Rotterdam, Centrum
Lucie With the Six Punches, Boxing Gym, Rotterdam, Centrum
The Kickboxing Society, Kickboxing Gym, Rotterdam, Centrum
RDAM Gym, Gym, Rotterdam, Centrum
Workoutclub Centrum, Gym, Rotterdam, Centrum
Sweatclub by Culture Club NL, Gym, Rotterdam, Centrum
Home of Performance, Gym, Rotterdam, Centrum
Krachtig Rotterdam, Gym, Rotterdam, Centrum
De Happy Fit Challenge, Fitness Studio, Rotterdam, Centrum
Complete Training, Gym, Rotterdam, Delfshaven
Fysical Hillegersberg, Gym, Rotterdam, Hillegersberg-Schiebroek
Lady's Gym Kralingen, Gym, Rotterdam, Kralingen-Crooswijk
Bokslokaal, Boxing Gym, Rotterdam, Kralingen-Crooswijk
Ichi Geki Academy, Martial Arts School, Rotterdam, Kralingen-Crooswijk
Workoutclub Noord, Gym, Rotterdam, Noord
Cardioboxing Rotterdam, Boxing Gym, Rotterdam, Noord
bbb healthboutique, Fitness Studio, Rotterdam, Noord
BEAR Studios, Gym, Rotterdam, Feijenoord
Monteiro Gym, Boxing Gym, Rotterdam, Feijenoord
Herman van 't Hof Rotterdamse Boksvereniging, Boxing Club, Rotterdam, Feijenoord
Skadi Rowing Club, Rowing Club, Rotterdam, Noord
HC Rotterdam, Hockey Club, Rotterdam, Hillegersberg-Schiebroek
Royal Maas Yacht Club, Rowing & Sailing Club, Rotterdam, Centrum
Excelsior Rotterdam, Football Club, Rotterdam, Kralingen-Crooswijk
Rotterdam Pitbulls, Rugby League Club, Rotterdam, Delfshaven
CrossFit Hofplein, Gym, Rotterdam, Centrum
TrainMore Rotterdam, Gym, Rotterdam, Centrum
Sportcity Rotterdam, Gym, Rotterdam, Centrum
The Hardcore Gym, Gym, Rotterdam, Centrum
Fem Only, Women's Gym, Rotterdam, Centrum
Ruthless Fight Company, MMA Gym, Rotterdam, Centrum
Noes Fiolet Studio's, Fitness Studio, Rotterdam, Centrum
Power Factory Rotterdam, Gym, Rotterdam, Prins Alexander
Watson Sports, Gym, Rotterdam, Prins Alexander
Queer Gym, Inclusive Gym, Rotterdam, Overschie
A-Sport-Life, Martial Arts School, Rotterdam, Overschie
KTEC, Martial Arts School, Rotterdam, Overschie
Level Personal Training, Gym, Rotterdam, Overschie
Box 'N Fit, Boxing Gym, Rotterdam, Overschie
Premium Gym, Gym, Rotterdam, Overschie
Dadda Fight Academy, Martial Arts School, Rotterdam, Overschie
CrossFit Wildhearts, Gym, Rotterdam, Centrum
MariSports, Gym, Rotterdam, Centrum
Sportingclub De Uitweg, Gym, Rotterdam, Centrum
Fit4Free Hoogstraat, Gym, Rotterdam, Centrum
TrainMore Lijnbaan, Gym, Rotterdam, Centrum
Basic-Fit Rotterdam, Gym, Rotterdam, Centrum
Anytime Fitness Rotterdam, Gym, Rotterdam, Centrum
HealthCity Rotterdam, Gym, Rotterdam, Centrum
Feyenoord, Football Club, Rotterdam, Feijenoord
Sparta Rotterdam, Football Club, Rotterdam, Spangen
Excelsior Rotterdam, Football Club, Rotterdam, Kralingen-Crooswijk
HC Rotterdam, Field Hockey Club, Rotterdam, Hillegersberg-Schiebroek
Neptunus, Baseball Club, Rotterdam, Delfshaven
Skadi Rowing Club, Rowing Club, Rotterdam, Noord
Royal Maas Yacht Club, Sailing Club, Rotterdam, Centrum
Lucie With the Six Punches, Boxing Gym, Rotterdam, Centrum
The Kickboxing Society, Kickboxing Gym, Rotterdam, Centrum
RDAM Gym, Fitness & Boxing Gym, Rotterdam, Centrum
Sweatclub by Culture Club NL, Fitness Studio, Rotterdam, Centrum
Home of Performance, Functional Training Gym, Rotterdam, Centrum
Workoutclub Noord, Fitness Club, Rotterdam, Noord
Workoutclub Centrum, Fitness Club, Rotterdam, Centrum
Krachtig Rotterdam, Fitness & Boxing Gym, Rotterdam, Centrum
Bokslokaal, Boxing Gym, Rotterdam, Kralingen-Crooswijk
Ichi Geki Academy, Martial Arts School, Rotterdam, Kralingen-Crooswijk
Lady's Gym Kralingen, Women's Gym, Rotterdam, Kralingen-Crooswijk
Complete Training, Fitness & Boxing Gym, Rotterdam, Delfshaven
Power Factory Rotterdam, Fitness Center, Rotterdam, Prins Alexander
Fysical Hillegersberg, Fitness Center, Rotterdam, Hillegersberg-Schiebroek
BBB Health Boutique, Women's Fitness Studio, Rotterdam, Noord
Queer Gym, Inclusive Fitness Studio, Rotterdam, Overschie
Monteiro Gym, Boxing Gym, Rotterdam, Feijenoord
David Lloyd Rotterdam Centrum, Fitness Club, Rotterdam, Centrum
